source_id	row_label	column_label	value
h006_assumed_independent_inputs	theta_right_deg	theta_right_deg	25.0
h006_assumed_independent_inputs	theta_right_deg	theta_left_deg	0.0
h006_assumed_independent_inputs	theta_right_deg	gamma_right_deg	0.0
h006_assumed_independent_inputs	theta_right_deg	gamma_left_deg	0.0
h006_assumed_independent_inputs	theta_left_deg	theta_right_deg	0.0
h006_assumed_independent_inputs	theta_left_deg	theta_left_deg	25.0
h006_assumed_independent_inputs	theta_left_deg	gamma_right_deg	0.0
h006_assumed_independent_inputs	theta_left_deg	gamma_left_deg	0.0
h006_assumed_independent_inputs	gamma_right_deg	theta_right_deg	0.0
h006_assumed_independent_inputs	gamma_right_deg	theta_left_deg	0.0
h006_assumed_independent_inputs	gamma_right_deg	gamma_right_deg	0.0625
h006_assumed_independent_inputs	gamma_right_deg	gamma_left_deg	0.0
h006_assumed_independent_inputs	gamma_left_deg	theta_right_deg	0.0
h006_assumed_independent_inputs	gamma_left_deg	theta_left_deg	0.0
h006_assumed_independent_inputs	gamma_left_deg	gamma_right_deg	0.0
h006_assumed_independent_inputs	gamma_left_deg	gamma_left_deg	0.0625
