source_id	row_label	column_label	value
common_camber_zero	theta_right_deg	theta_right_deg	0.0
common_camber_zero	theta_right_deg	theta_left_deg	0.0
common_camber_zero	theta_right_deg	gamma_right_deg	0.0
common_camber_zero	theta_right_deg	gamma_left_deg	0.0
common_camber_zero	theta_left_deg	theta_right_deg	0.0
common_camber_zero	theta_left_deg	theta_left_deg	0.0
common_camber_zero	theta_left_deg	gamma_right_deg	0.0
common_camber_zero	theta_left_deg	gamma_left_deg	0.0
common_camber_zero	gamma_right_deg	theta_right_deg	0.0
common_camber_zero	gamma_right_deg	theta_left_deg	0.0
common_camber_zero	gamma_right_deg	gamma_right_deg	0.0625
common_camber_zero	gamma_right_deg	gamma_left_deg	0.0625
common_camber_zero	gamma_left_deg	theta_right_deg	0.0
common_camber_zero	gamma_left_deg	theta_left_deg	0.0
common_camber_zero	gamma_left_deg	gamma_right_deg	0.0625
common_camber_zero	gamma_left_deg	gamma_left_deg	0.0625
